_id,userInputs,userID,sessionID,stationID,spaceID,siteID,clusterID,connectionTime,disconnectTime,kWhDelivered,doneChargingTime,timezone,WhPerMile,milesRequested,minutesAvailable,kWhRequested,requestedDeparture,modifiedAt,chargingCurrent,pilotSignal,numTimeStamps,kWhDeliveredPerTimeStamp,timestamps
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,1
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,2
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,3
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,4
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,5
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,6
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,7
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,8
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,9
6014b69bf9af8b6cc51beeb8,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Wed, 13 Jan 2021 21:46:54 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 13 Jan 2021 23:46:18 GMT"", ""kWhRequested"": 5.8}]",1082.0,6014b69bf9af8b6cc51beeb8,2-39-78-365,CA-321,2,39,2021-01-13 21:46:18+00:00,2021-01-14 00:14:36+00:00,2.212,2021-01-13 22:52:17+00:00,America/Los_Angeles,290.0,20.0,120.0,5.8,2021-01-13 23:46:18+00:00,2021-01-13 21:46:54+00:00,32.0,32.0,13,0.17015384615384616,10
